Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","675.066833496094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","628.09619140625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","66","GC11P108222","543.930053710938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","57","GC16M023603","484.809265136719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"BRIP1","BRCA1 Interacting DNA Helicase 1","Protein Coding","Q9BX63","61","GC17M061679","440.251251220703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","67","GC22M028687","437.719177246094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","59","GC02M214725","393.206329345703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"CDH1","Cadherin 1","Protein Coding","P12830","61","GC16P068737","335.769622802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","44","GC11M108308","334.065582275391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","315.464782714844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","263.675720214844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","262.354675292969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","68","GC17P039687","261.778381347656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MLH1","MutL Homolog 1","Protein Coding","P40692","61","GC03P036993","255.831802368164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","67","GC07P055019","243.240203857422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P134441","230.543106079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
