stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000178638	9606.ENSP00000405330	CA12	ESR1	9606	0.403	0	0	0	0.067	0.041	0	0.387
9606.ENSP00000178638	9606.ENSP00000367608	CA12	CA9	9606	0.739	0	0	0.124	0.084	0	0.5	0.426
9606.ENSP00000215832	9606.ENSP00000263923	MAPK1	KDR	9606	0.404	0	0	0	0	0.295	0	0.189
9606.ENSP00000215832	9606.ENSP00000219070	MAPK1	MMP2	9606	0.408	0	0	0	0.047	0	0	0.404
9606.ENSP00000215832	9606.ENSP00000381607	MAPK1	GSTP1	9606	0.411	0	0	0	0.049	0.292	0	0.196
9606.ENSP00000215832	9606.ENSP00000419260	MAPK1	PIK3CG	9606	0.439	0	0	0	0.056	0	0	0.43
9606.ENSP00000215832	9606.ENSP00000358327	MAPK1	CASP7	9606	0.451	0	0	0	0.067	0.045	0	0.433
9606.ENSP00000215832	9606.ENSP00000347942	MAPK1	RET	9606	0.459	0	0	0	0	0.387	0	0.154
9606.ENSP00000215832	9606.ENSP00000306124	MAPK1	PRKCE	9606	0.461	0	0	0	0	0.373	0	0.176
9606.ENSP00000215832	9606.ENSP00000282397	MAPK1	FLT1	9606	0.462	0	0	0	0	0.077	0	0.442
9606.ENSP00000215832	9606.ENSP00000309968	MAPK1	ADAM17	9606	0.465	0	0	0	0.049	0.292	0	0.27
9606.ENSP00000215832	9606.ENSP00000263377	MAPK1	BRD4	9606	0.465	0	0	0	0.05	0.33	0	0.226
9606.ENSP00000215832	9606.ENSP00000393312	MAPK1	FGFR1	9606	0.496	0	0	0	0	0	0.4	0.195
9606.ENSP00000215832	9606.ENSP00000299855	MAPK1	MMP3	9606	0.5	0	0	0	0.047	0	0	0.497
9606.ENSP00000215832	9606.ENSP00000437125	MAPK1	HSPA8	9606	0.506	0	0	0	0.122	0.071	0	0.443
9606.ENSP00000215832	9606.ENSP00000363822	MAPK1	AR	9606	0.527	0	0	0	0	0.292	0	0.36
9606.ENSP00000215832	9606.ENSP00000431885	MAPK1	TYK2	9606	0.54	0	0	0	0.1	0.11	0.4	0.156
9606.ENSP00000215832	9606.ENSP00000360683	MAPK1	PTPN1	9606	0.561	0	0	0	0.067	0.145	0	0.494
9606.ENSP00000215832	9606.ENSP00000275493	MAPK1	EGFR	9606	0.612	0	0	0	0.047	0.042	0	0.609
9606.ENSP00000215832	9606.ENSP00000501150	MAPK1	PIK3CB	9606	0.618	0	0	0	0.082	0	0	0.601
9606.ENSP00000215832	9606.ENSP00000477713	MAPK1	LCK	9606	0.624	0	0	0	0.059	0.545	0	0.192
9606.ENSP00000215832	9606.ENSP00000381070	MAPK1	MAP2K7	9606	0.643	0	0	0	0.069	0.51	0	0.28
9606.ENSP00000215832	9606.ENSP00000217244	MAPK1	CSNK2A1	9606	0.649	0	0	0	0.144	0.335	0	0.433
9606.ENSP00000215832	9606.ENSP00000428056	MAPK1	PIK3R1	9606	0.659	0	0	0	0.127	0	0	0.626
9606.ENSP00000215832	9606.ENSP00000354558	MAPK1	MTOR	9606	0.678	0	0	0	0.105	0.258	0	0.554
9606.ENSP00000215832	9606.ENSP00000361405	MAPK1	MMP9	9606	0.684	0	0	0	0.104	0	0	0.661
9606.ENSP00000215832	9606.ENSP00000378699	MAPK1	CDK1	9606	0.693	0	0	0.071	0.042	0.131	0	0.649
9606.ENSP00000215832	9606.ENSP00000384273	MAPK1	RELA	9606	0.717	0	0	0	0.049	0.189	0	0.662
9606.ENSP00000215832	9606.ENSP00000361423	MAPK1	ABL1	9606	0.724	0	0	0	0.064	0.11	0	0.695
9606.ENSP00000215832	9606.ENSP00000499900	MAPK1	JAK1	9606	0.745	0	0	0	0.13	0.11	0.4	0.516
9606.ENSP00000215832	9606.ENSP00000262506	MAPK1	CSNK2A2	9606	0.786	0	0	0	0.117	0.233	0	0.71
